,company_id,category_code,country_code,state_code,average_funded,total_rounds,average_participants,products_number,offices,acquired_companies,mba_degree,phd_degree,ms_degree,other_degree,ipo,is_acquired,is_closed,age
count,31752,30507,31984,31984,28104.0,31984.0,31984.0,4043.0,29607.0,1529.0,8095.0,2741.0,6056.0,15323.0,31984,31984,31984,24505.0
unique,31702,42,3,2,,,,,,,,,,,2,2,2,
top,c:44268,software,USA,other,,,,,,,,,,,False,False,False,
freq,3,4677,19768,24645,,,,,,,,,,,31666,29352,29888,
mean,,,,,8121170.852231661,1.6576413206603302,1.3766774856178088,2.1721493940143457,1.1645219036038774,2.3472858077174625,2.399629400864731,1.7924115286391828,2.0503632760898283,5.381844286366899,,,,2536.630769230769
std,,,,,44453837.3568905,1.1996045745695458,1.7540062536902266,2.8483952973311344,0.7447629265602601,7.139714127657702,4.586162712122994,2.2052427709342077,4.205058477139964,14.778870491113903,,,,2485.8130935391046
min,,,,,291.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.0
25%,,,,,464000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1096.0
50%,,,,,1965732.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,1826.0
75%,,,,,6705533.125,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,6.0,,,,3287.0
max,,,,,3822518000.0,15.0,36.0,91.0,67.0,159.0,207.0,60.0,196.0,974.0,,,,40543.0
